\FIFO_E/FIFO_MEM_1_reg[0] :D FIFO_E/n140 [('FIFO_E/U298/Q', 'Output Pin(AO22X6)')]
\FIFO_S/U244 :A2 RX_S[10] [('RX_S[10]', 'Input Port')]
\FIFO_S/U244 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U244 :B2 n481 [('FIFO_S/FIFO_MEM_3_reg[10]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U244 :Q FIFO_S/n194 [('FIFO_S/FIFO_MEM_3_reg[10]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U245 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U245 :A2 RX_S[11] [('RX_S[11]', 'Input Port')]
\FIFO_S/U245 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U245 :B2 n482 [('FIFO_S/FIFO_MEM_3_reg[11]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U245 :Q FIFO_S/n193 [('FIFO_S/FIFO_MEM_3_reg[11]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U246 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U246 :A2 RX_S[12] [('RX_S[12]', 'Input Port')]
\FIFO_S/U246 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U246 :B2 n483 [('FIFO_S/FIFO_MEM_3_reg[12]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U246 :Q FIFO_S/n192 [('FIFO_S/FIFO_MEM_3_reg[12]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U247 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U247 :A2 RX_S[13] [('RX_S[13]', 'Input Port')]
\FIFO_S/U247 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U247 :B2 n484 [('FIFO_S/FIFO_MEM_3_reg[13]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U247 :Q FIFO_S/n191 [('FIFO_S/FIFO_MEM_3_reg[13]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U248 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U248 :A2 RX_S[14] [('RX_S[14]', 'Input Port')]
\FIFO_S/U248 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U248 :B2 n485 [('FIFO_S/FIFO_MEM_3_reg[14]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U248 :Q FIFO_S/n190 [('FIFO_S/FIFO_MEM_3_reg[14]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U249 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U249 :A2 RX_S[15] [('RX_S[15]', 'Input Port')]
\FIFO_S/U249 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U249 :B2 n486 [('FIFO_S/FIFO_MEM_3_reg[15]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U249 :Q FIFO_S/n189 [('FIFO_S/FIFO_MEM_3_reg[15]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U250 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U250 :A2 RX_S[16] [('RX_S[16]', 'Input Port')]
\FIFO_S/U250 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U250 :B2 n487 [('FIFO_S/FIFO_MEM_3_reg[16]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U250 :Q FIFO_S/n188 [('FIFO_S/FIFO_MEM_3_reg[16]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U251 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U251 :A2 RX_S[17] [('RX_S[17]', 'Input Port')]
\FIFO_S/U251 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U251 :B2 n488 [('FIFO_S/FIFO_MEM_3_reg[17]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U251 :Q FIFO_S/n187 [('FIFO_S/FIFO_MEM_3_reg[17]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U252 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U252 :A2 RX_S[18] [('RX_S[18]', 'Input Port')]
\FIFO_S/U252 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U252 :B2 n489 [('FIFO_S/FIFO_MEM_3_reg[18]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U252 :Q FIFO_S/n186 [('FIFO_S/FIFO_MEM_3_reg[18]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U253 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U253 :A2 RX_S[19] [('RX_S[19]', 'Input Port')]
\FIFO_S/U253 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U253 :B2 n490 [('FIFO_S/FIFO_MEM_3_reg[19]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U253 :Q FIFO_S/n185 [('FIFO_S/FIFO_MEM_3_reg[19]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U254 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U254 :A2 RX_S[20] [('RX_S[20]', 'Input Port')]
\FIFO_S/U254 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U254 :B2 n491 [('FIFO_S/FIFO_MEM_3_reg[20]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U254 :Q FIFO_S/n184 [('FIFO_S/FIFO_MEM_3_reg[20]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U255 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U255 :A2 RX_S[21] [('RX_S[21]', 'Input Port')]
\FIFO_S/U255 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U255 :B2 n492 [('FIFO_S/FIFO_MEM_3_reg[21]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U255 :Q FIFO_S/n183 [('FIFO_S/FIFO_MEM_3_reg[21]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U256 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U256 :A2 RX_S[22] [('RX_S[22]', 'Input Port')]
\FIFO_S/U256 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U256 :B2 n493 [('FIFO_S/FIFO_MEM_3_reg[22]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U256 :Q FIFO_S/n182 [('FIFO_S/FIFO_MEM_3_reg[22]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U257 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U257 :A2 RX_S[23] [('RX_S[23]', 'Input Port')]
\FIFO_S/U257 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U257 :B2 n494 [('FIFO_S/FIFO_MEM_3_reg[23]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U257 :Q FIFO_S/n181 [('FIFO_S/FIFO_MEM_3_reg[23]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U258 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U258 :A2 RX_S[24] [('RX_S[24]', 'Input Port')]
\FIFO_S/U258 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U258 :B2 n495 [('FIFO_S/FIFO_MEM_3_reg[24]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U258 :Q FIFO_S/n180 [('FIFO_S/FIFO_MEM_3_reg[24]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U259 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U259 :A2 RX_S[25] [('RX_S[25]', 'Input Port')]
\FIFO_S/U259 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U259 :B2 n496 [('FIFO_S/FIFO_MEM_3_reg[25]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U259 :Q FIFO_S/n179 [('FIFO_S/FIFO_MEM_3_reg[25]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U260 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U260 :A2 RX_S[26] [('RX_S[26]', 'Input Port')]
\FIFO_S/U260 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U260 :B2 n497 [('FIFO_S/FIFO_MEM_3_reg[26]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U260 :Q FIFO_S/n178 [('FIFO_S/FIFO_MEM_3_reg[26]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U261 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U261 :A2 RX_S[27] [('RX_S[27]', 'Input Port')]
\FIFO_S/U261 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U261 :B2 n498 [('FIFO_S/FIFO_MEM_3_reg[27]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U261 :Q FIFO_S/n177 [('FIFO_S/FIFO_MEM_3_reg[27]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U262 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U262 :A2 RX_S[28] [('RX_S[28]', 'Input Port')]
\FIFO_S/U262 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U262 :B2 n499 [('FIFO_S/FIFO_MEM_3_reg[28]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U262 :Q FIFO_S/n176 [('FIFO_S/FIFO_MEM_3_reg[28]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U263 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U263 :A2 RX_S[29] [('RX_S[29]', 'Input Port')]
\FIFO_S/U263 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U263 :B2 n500 [('FIFO_S/FIFO_MEM_3_reg[29]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U263 :Q FIFO_S/n175 [('FIFO_S/FIFO_MEM_3_reg[29]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U264 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U264 :A2 RX_S[30] [('RX_S[30]', 'Input Port')]
\FIFO_S/U264 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U264 :B2 n501 [('FIFO_S/FIFO_MEM_3_reg[30]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U264 :Q FIFO_S/n174 [('FIFO_S/FIFO_MEM_3_reg[30]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U265 :A1 n765 [('U61/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U265 :A2 RX_S[31] [('RX_S[31]', 'Input Port')]
\FIFO_S/U265 :B1 FIFO_S/n402 [('U677/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U265 :B2 n502 [('FIFO_S/FIFO_MEM_3_reg[31]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U265 :Q FIFO_S/n173 [('FIFO_S/FIFO_MEM_3_reg[31]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U266 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U266 :A2 RX_S[0] [('RX_S[0]', 'Input Port')]
\FIFO_S/U266 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U266 :B2 n151 [('FIFO_S/FIFO_MEM_2_reg[0]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U266 :Q FIFO_S/n172 [('FIFO_S/FIFO_MEM_2_reg[0]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U267 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U267 :A2 RX_S[1] [('RX_S[1]', 'Input Port')]
\FIFO_S/U267 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U267 :B2 n152 [('FIFO_S/FIFO_MEM_2_reg[1]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U267 :Q FIFO_S/n171 [('FIFO_S/FIFO_MEM_2_reg[1]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U268 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U268 :A2 RX_S[2] [('RX_S[2]', 'Input Port')]
\FIFO_S/U268 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U268 :B2 n153 [('FIFO_S/FIFO_MEM_2_reg[2]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U268 :Q FIFO_S/n170 [('FIFO_S/FIFO_MEM_2_reg[2]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U269 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U269 :A2 RX_S[3] [('RX_S[3]', 'Input Port')]
\FIFO_S/U269 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U269 :B2 n154 [('FIFO_S/FIFO_MEM_2_reg[3]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U269 :Q FIFO_S/n169 [('FIFO_S/FIFO_MEM_2_reg[3]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U270 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U270 :A2 RX_S[4] [('RX_S[4]', 'Input Port')]
\FIFO_S/U270 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U270 :B2 n155 [('FIFO_S/FIFO_MEM_2_reg[4]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U270 :Q FIFO_S/n168 [('FIFO_S/FIFO_MEM_2_reg[4]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U271 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U271 :A2 RX_S[5] [('RX_S[5]', 'Input Port')]
\FIFO_S/U271 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U271 :B2 n156 [('FIFO_S/FIFO_MEM_2_reg[5]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U271 :Q FIFO_S/n167 [('FIFO_S/FIFO_MEM_2_reg[5]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U272 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U272 :A2 RX_S[6] [('RX_S[6]', 'Input Port')]
\FIFO_S/U272 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U272 :B2 n157 [('FIFO_S/FIFO_MEM_2_reg[6]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U272 :Q FIFO_S/n166 [('FIFO_S/FIFO_MEM_2_reg[6]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U273 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U273 :A2 RX_S[7] [('RX_S[7]', 'Input Port')]
\FIFO_S/U273 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U273 :B2 n158 [('FIFO_S/FIFO_MEM_2_reg[7]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U273 :Q FIFO_S/n165 [('FIFO_S/FIFO_MEM_2_reg[7]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U274 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U274 :A2 RX_S[8] [('RX_S[8]', 'Input Port')]
\FIFO_S/U274 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U274 :B2 n159 [('FIFO_S/FIFO_MEM_2_reg[8]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U274 :Q FIFO_S/n164 [('FIFO_S/FIFO_MEM_2_reg[8]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U275 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U275 :A2 RX_S[9] [('RX_S[9]', 'Input Port')]
\FIFO_S/U275 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U275 :B2 n160 [('FIFO_S/FIFO_MEM_2_reg[9]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U275 :Q FIFO_S/n163 [('FIFO_S/FIFO_MEM_2_reg[9]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U276 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U276 :A2 RX_S[10] [('RX_S[10]', 'Input Port')]
\FIFO_S/U276 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U276 :B2 n161 [('FIFO_S/FIFO_MEM_2_reg[10]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U276 :Q FIFO_S/n162 [('FIFO_S/FIFO_MEM_2_reg[10]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U277 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U277 :A2 RX_S[11] [('RX_S[11]', 'Input Port')]
\FIFO_S/U277 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U277 :B2 n162 [('FIFO_S/FIFO_MEM_2_reg[11]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U277 :Q FIFO_S/n161 [('FIFO_S/FIFO_MEM_2_reg[11]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U278 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U278 :A2 RX_S[12] [('RX_S[12]', 'Input Port')]
\FIFO_S/U278 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U278 :B2 n163 [('FIFO_S/FIFO_MEM_2_reg[12]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U278 :Q FIFO_S/n160 [('FIFO_S/FIFO_MEM_2_reg[12]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U279 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U279 :A2 RX_S[13] [('RX_S[13]', 'Input Port')]
\FIFO_S/U279 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U279 :B2 n164 [('FIFO_S/FIFO_MEM_2_reg[13]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U279 :Q FIFO_S/n159 [('FIFO_S/FIFO_MEM_2_reg[13]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U280 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U280 :A2 RX_S[14] [('RX_S[14]', 'Input Port')]
\FIFO_S/U280 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U280 :B2 n165 [('FIFO_S/FIFO_MEM_2_reg[14]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U280 :Q FIFO_S/n158 [('FIFO_S/FIFO_MEM_2_reg[14]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U281 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U281 :A2 RX_S[15] [('RX_S[15]', 'Input Port')]
\FIFO_S/U281 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U281 :B2 n166 [('FIFO_S/FIFO_MEM_2_reg[15]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U281 :Q FIFO_S/n157 [('FIFO_S/FIFO_MEM_2_reg[15]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U282 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U282 :A2 RX_S[16] [('RX_S[16]', 'Input Port')]
\FIFO_S/U282 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U282 :B2 n167 [('FIFO_S/FIFO_MEM_2_reg[16]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U282 :Q FIFO_S/n156 [('FIFO_S/FIFO_MEM_2_reg[16]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U283 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U283 :A2 RX_S[17] [('RX_S[17]', 'Input Port')]
\FIFO_S/U283 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U283 :B2 n168 [('FIFO_S/FIFO_MEM_2_reg[17]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U283 :Q FIFO_S/n155 [('FIFO_S/FIFO_MEM_2_reg[17]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U284 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U284 :A2 RX_S[18] [('RX_S[18]', 'Input Port')]
\FIFO_S/U284 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U284 :B2 n169 [('FIFO_S/FIFO_MEM_2_reg[18]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U284 :Q FIFO_S/n154 [('FIFO_S/FIFO_MEM_2_reg[18]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U285 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U285 :A2 RX_S[19] [('RX_S[19]', 'Input Port')]
\FIFO_S/U285 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U285 :B2 n170 [('FIFO_S/FIFO_MEM_2_reg[19]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U285 :Q FIFO_S/n153 [('FIFO_S/FIFO_MEM_2_reg[19]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U286 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U286 :A2 RX_S[20] [('RX_S[20]', 'Input Port')]
\FIFO_S/U286 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U286 :B2 n171 [('FIFO_S/FIFO_MEM_2_reg[20]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U286 :Q FIFO_S/n152 [('FIFO_S/FIFO_MEM_2_reg[20]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U287 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U287 :A2 RX_S[21] [('RX_S[21]', 'Input Port')]
\FIFO_S/U287 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U287 :B2 n172 [('FIFO_S/FIFO_MEM_2_reg[21]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U287 :Q FIFO_S/n151 [('FIFO_S/FIFO_MEM_2_reg[21]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U288 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U288 :A2 RX_S[22] [('RX_S[22]', 'Input Port')]
\FIFO_S/U288 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U288 :B2 n173 [('FIFO_S/FIFO_MEM_2_reg[22]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U288 :Q FIFO_S/n150 [('FIFO_S/FIFO_MEM_2_reg[22]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U289 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U289 :A2 RX_S[23] [('RX_S[23]', 'Input Port')]
\FIFO_S/U289 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U289 :B2 n174 [('FIFO_S/FIFO_MEM_2_reg[23]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U289 :Q FIFO_S/n149 [('FIFO_S/FIFO_MEM_2_reg[23]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U290 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U290 :A2 RX_S[24] [('RX_S[24]', 'Input Port')]
\FIFO_S/U290 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U290 :B2 n175 [('FIFO_S/FIFO_MEM_2_reg[24]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U290 :Q FIFO_S/n148 [('FIFO_S/FIFO_MEM_2_reg[24]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U291 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U291 :A2 RX_S[25] [('RX_S[25]', 'Input Port')]
\FIFO_S/U291 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U291 :B2 n176 [('FIFO_S/FIFO_MEM_2_reg[25]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U291 :Q FIFO_S/n147 [('FIFO_S/FIFO_MEM_2_reg[25]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U292 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U292 :A2 RX_S[26] [('RX_S[26]', 'Input Port')]
\FIFO_S/U292 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U292 :B2 n177 [('FIFO_S/FIFO_MEM_2_reg[26]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U292 :Q FIFO_S/n146 [('FIFO_S/FIFO_MEM_2_reg[26]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U293 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U293 :A2 RX_S[27] [('RX_S[27]', 'Input Port')]
\FIFO_S/U293 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U293 :B2 n178 [('FIFO_S/FIFO_MEM_2_reg[27]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U293 :Q FIFO_S/n145 [('FIFO_S/FIFO_MEM_2_reg[27]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U294 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U294 :A2 RX_S[28] [('RX_S[28]', 'Input Port')]
\FIFO_S/U294 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U294 :B2 n179 [('FIFO_S/FIFO_MEM_2_reg[28]/Q', 'Output Pin(DFCX4)')]
\FIFO_S/U294 :Q FIFO_S/n144 [('FIFO_S/FIFO_MEM_2_reg[28]/D', 'Input Pin(DFCX4)')]
\FIFO_S/U295 :A1 n766 [('U52/Q', 'Output Pin(CLKINVX10)')]
\FIFO_S/U295 :A2 RX_S[29] [('RX_S[29]', 'Input Port')]
\FIFO_S/U295 :B1 FIFO_S/n403 [('U676/Q', 'Output Pin(NAND3X3)')]
\FIFO_S/U295 :B2 n180 [('FIFO_S/FIFO_MEM_2_reg[29]/Q', 'Output Pin(DFCX4)')]
